NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
32751	80445	Exc-transcriptome	15	15
170188	1609566	Pan-transcriptome	15	16
0	0	Hard-Core-transcriptome	15	16
1063	45738	Soft-Core-transcriptome	15	16
137471	1482355	Acc-transcriptome	15	16
31654	81473	Exc-transcriptome	15	16
165601	1482593	Pan-transcriptome	15	17
0	0	Hard-Core-transcriptome	15	17
0	0	Soft-Core-transcriptome	15	17
121995	1397727	Acc-transcriptome	15	17
43606	84866	Exc-transcriptome	15	17
168750	1615177	Pan-transcriptome	16	0
0	0	Hard-Core-transcriptome	16	0
0	0	Soft-Core-transcriptome	16	0
136245	1535211	Acc-transcriptome	16	0
32505	79966	Exc-transcriptome	16	0
171314	1621212	Pan-transcriptome	16	1
0	0	Hard-Core-transcriptome	16	1
0	0	Soft-Core-transcriptome	16	1
114645	1476437	Acc-transcriptome	16	1
56669	144775	Exc-transcriptome	16	1
173744	1732567	Pan-transcriptome	16	2
0	0	Hard-Core-transcriptome	16	2
1059	47992	Soft-Core-transcriptome	16	2
145749	1606600	Acc-transcriptome	16	2
26936	77975	Exc-transcriptome	16	2
170134	1602005	Pan-transcriptome	16	3
0	0	Hard-Core-transcriptome	16	3
0	0	Soft-Core-transcriptome	16	3
135399	1517749	Acc-transcriptome	16	3
34735	84256	Exc-transcriptome	16	3
173714	1618656	Pan-transcriptome	16	4
0	0	Hard-Core-transcriptome	16	4
0	0	Soft-Core-transcriptome	16	4
142307	1534669	Acc-transcriptome	16	4
31407	83987	Exc-transcriptome	16	4
172576	1620900	Pan-transcriptome	16	5
0	0	Hard-Core-transcriptome	16	5
0	0	Soft-Core-transcriptome	16	5
142714	1540198	Acc-transcriptome	16	5
29862	80702	Exc-transcriptome	16	5
172431	1585781	Pan-transcriptome	16	6
0	0	Hard-Core-transcriptome	16	6
0	0	Soft-Core-transcriptome	16	6
141425	1503859	Acc-transcriptome	16	6
31006	81922	Exc-transcriptome	16	6
173698	1723614	Pan-transcriptome	16	7
0	0	Hard-Core-transcriptome	16	7
1111	51791	Soft-Core-transcriptome	16	7
138063	1583951	Acc-transcriptome	16	7
34524	87872	Exc-transcriptome	16	7
166613	1609037	Pan-transcriptome	16	8
0	0	Hard-Core-transcriptome	16	8
0	0	Soft-Core-transcriptome	16	8
129520	1525307	Acc-transcriptome	16	8
37093	83730	Exc-transcriptome	16	8
169525	1642422	Pan-transcriptome	16	9
0	0	Hard-Core-transcriptome	16	9
0	0	Soft-Core-transcriptome	16	9
127101	1547788	Acc-transcriptome	16	9
42424	94634	Exc-transcriptome	16	9
169030	1599658	Pan-transcriptome	16	10
0	0	Hard-Core-transcriptome	16	10
0	0	Soft-Core-transcriptome	16	10
132404	1512958	Acc-transcriptome	16	10
36626	86700	Exc-transcriptome	16	10
168513	1601410	Pan-transcriptome	16	11
0	0	Hard-Core-transcriptome	16	11
0	0	Soft-Core-transcriptome	16	11
132924	1516811	Acc-transcriptome	16	11
35589	84599	Exc-transcriptome	16	11
171025	1639386	Pan-transcriptome	16	12
0	0	Hard-Core-transcriptome	16	12
0	0	Soft-Core-transcriptome	16	12
134063	1549896	Acc-transcriptome	16	12
36962	89490	Exc-transcriptome	16	12
171142	1735295	Pan-transcriptome	16	13
0	0	Hard-Core-transcriptome	16	13
1084	51596	Soft-Core-transcriptome	16	13
136337	1601256	Acc-transcriptome	16	13
33721	82443	Exc-transcriptome	16	13
172463	1751053	Pan-transcriptome	16	14
0	0	Hard-Core-transcriptome	16	14
1042	50051	Soft-Core-transcriptome	16	14
137242	1614192	Acc-transcriptome	16	14
34179	86810	Exc-transcriptome	16	14
172431	1585781	Pan-transcriptome	16	15
0	0	Hard-Core-transcriptome	16	15
0	0	Soft-Core-transcriptome	16	15
141425	1503859	Acc-transcriptome	16	15
31006	81922	Exc-transcriptome	16	15
172957	1602726	Pan-transcriptome	16	16
0	0	Hard-Core-transcriptome	16	16
0	0	Soft-Core-transcriptome	16	16
123367	1467140	Acc-transcriptome	16	16
49590	135586	Exc-transcriptome	16	16
169822	1630502	Pan-transcriptome	16	17
0	0	Hard-Core-transcriptome	16	17
0	0	Soft-Core-transcriptome	16	17
132185	1542698	Acc-transcriptome	16	17
37637	87804	Exc-transcriptome	16	17
171142	1731241	Pan-transcriptome	17	0
0	0	Hard-Core-transcriptome	17	0
1071	50743	Soft-Core-transcriptome	17	0
135226	1595236	Acc-transcriptome	17	0
34845	85262	Exc-transcriptome	17	0
171142	1731241	Pan-transcriptome	17	1
0	0	Hard-Core-transcriptome	17	1
1071	50743	Soft-Core-transcriptome	17	1
135226	1595236	Acc-transcriptome	17	1
34845	85262	Exc-transcriptome	17	1
173737	1704420	Pan-transcriptome	17	2
0	0	Hard-Core-transcriptome	17	2
1068	48305	Soft-Core-transcriptome	17	2
144909	1576868	Acc-transcriptome	17	2
27760	79247	Exc-transcriptome	17	2
165723	1706472	Pan-transcriptome	17	3
0	0	Hard-Core-transcriptome	17	3
1085	50793	Soft-Core-transcriptome	17	3
140886	1594521	Acc-transcriptome	17	3
23752	61158	Exc-transcriptome	17	3
173744	1732567	Pan-transcriptome	17	4
0	0	Hard-Core-transcriptome	17	4
1059	47992	Soft-Core-transcriptome	17	4
145749	1606600	Acc-transcriptome	17	4
26936	77975	Exc-transcriptome	17	4
169984	1717668	Pan-transcriptome	17	5
0	0	Hard-Core-transcriptome	17	5
1052	49397	Soft-Core-transcriptome	17	5
139600	1591825	Acc-transcriptome	17	5
29332	76446	Exc-transcriptome	17	5
173715	1725961	Pan-transcriptome	17	6
0	0	Hard-Core-transcriptome	17	6
1140	53566	Soft-Core-transcriptome	17	6
141681	1589085	Acc-transcriptome	17	6
30894	83310	Exc-transcriptome	17	6
173745	1839872	Pan-transcriptome	17	7
0	0	Hard-Core-transcriptome	17	7
9833	554293	Soft-Core-transcriptome	17	7
137452	1208235	Acc-transcriptome	17	7
26460	77344	Exc-transcriptome	17	7
172575	1739133	Pan-transcriptome	17	8
0	0	Hard-Core-transcriptome	17	8
1073	50795	Soft-Core-transcriptome	17	8
142265	1608652	Acc-transcriptome	17	8
29237	79686	Exc-transcriptome	17	8
173637	1751445	Pan-transcriptome	17	9
0	0	Hard-Core-transcriptome	17	9
9412	535484	Soft-Core-transcriptome	17	9
119617	1117372	Acc-transcriptome	17	9
44608	98589	Exc-transcriptome	17	9
172575	1739133	Pan-transcriptome	17	10
0	0	Hard-Core-transcriptome	17	10
1073	50795	Soft-Core-transcriptome	17	10
142265	1608652	Acc-transcriptome	17	10
29237	79686	Exc-transcriptome	17	10
173637	1751445	Pan-transcriptome	17	11
0	0	Hard-Core-transcriptome	17	11
9412	535484	Soft-Core-transcriptome	17	11
119617	1117372	Acc-transcriptome	17	11
44608	98589	Exc-transcriptome	17	11
173637	1751445	Pan-transcriptome	17	12
0	0	Hard-Core-transcriptome	17	12
9412	535484	Soft-Core-transcriptome	17	12
119617	1117372	Acc-transcriptome	17	12
44608	98589	Exc-transcriptome	17	12
172582	1728205	Pan-transcriptome	17	13
0	0	Hard-Core-transcriptome	17	13
1051	48926	Soft-Core-transcriptome	17	13
142157	1599224	Acc-transcriptome	17	13
29374	80055	Exc-transcriptome	17	13
173715	1725961	Pan-transcriptome	17	14
0	0	Hard-Core-transcriptome	17	14
1140	53566	Soft-Core-transcriptome	17	14
141681	1589085	Acc-transcriptome	17	14
30894	83310	Exc-transcriptome	17	14
172442	1721233	Pan-transcriptome	17	15
0	0	Hard-Core-transcriptome	17	15
1049	49035	Soft-Core-transcriptome	17	15
141777	1592296	Acc-transcriptome	17	15
29616	79902	Exc-transcriptome	17	15
172958	1710031	Pan-transcriptome	17	16
0	0	Hard-Core-transcriptome	17	16
1064	50431	Soft-Core-transcriptome	17	16
122815	1524688	Acc-transcriptome	17	16
49079	134912	Exc-transcriptome	17	16
173744	1732567	Pan-transcriptome	17	17
0	0	Hard-Core-transcriptome	17	17
1059	47992	Soft-Core-transcriptome	17	17
145749	1606600	Acc-transcriptome	17	17
26936	77975	Exc-transcriptome	17	17
